OBJECTID,DISTRICT,NAME,NUM_MEMBER,IDEAL_POP,IS_LOCKED,SHAPE_AREA,SHAPE_LEN,bgTotal,bgMinority,pctMinoritybg,chArea,chTotal,chMinority,chPct,chDiff,chAbsDiff,darea,dperim,compact_shp,compact_hull
1,1,District 1,1,776292,0,2.05214620725,13.0406065636,608798.272769795,81288.07081606997,13.4,31623139474.6713,1164392.2001155773,357209.8546614945,30.7,-17.299999999999997,17.299999999999997,22024538940.6022,1336173.79884322,0.16,0.7
2,2,District 2,1,776292,1,0.578005996434,8.19231872989,592737.8033232543,300084.410312037,50.6,10808436574.5543,1113535.9385459656,385795.06524417683,34.6,16,16,6184996041.87059,839509.174492478,0.11,0.57
3,3,District 3,1,776292,0,2.56800813243,13.3488791364,589328.749138942,133939.20036916726,22.7,38694861653.4601,763024.5036512745,188564.17218761754,24.7,-2,2,27552157376.9906,1354968.35683328,0.19,0.71
4,4,District 4,1,776292,0,3.71220882393,24.1357230642,594525.5515920118,123901.2164914843,20.8,55334342455.9212,1005620.6617807739,314709.66048670054,31.3,-10.5,10.5,39016711880.8047,2451650.03340919,0.08,0.71
5,5,District 5,1,776292,0,2.65780071953,20.4803577615,593314.2992218044,161153.53850303934,27.2,52250500429.3179,943668.6102998354,315616.32644645806,33.4,-6.199999999999999,6.199999999999999,27956964592.7956,2072242.99934911,0.08,0.54
6,6,District 6,1,776292,0,1.23356028693,17.4094873482,591686.3160634728,315367.2851979519,53.3,30291541272.6369,958820.9319278192,393661.0008993557,41.1,12.199999999999996,12.199999999999996,13044556671.5293,1774205.68811505,0.05,0.43
